uniprot.id	protein	gene	protein.orig	p.value
P14410	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]	SUIS	Sucrase-isomaltase, intestinal	3.72e-05
Q9H3R2	Mucin-13 (MUC-13) (Down-regulated in colon cancer 1)	MUC13	Mucin-13	0.000128
P09466	Glycodelin (GD) (Placental protein 14) (PP14) (Pregnancy-associated endometrial alpha-2 globulin) (PAEG) (PEG) (Progestagen-associated endometrial protein) (Progesterone-associated endometrial protein) (Zona-binding inhibitory factor-1) (ZIF-1)	PAEP	Glycodelin	0.0247
O43852	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	Calumenin	0.000338
Q16270	Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (IGFBP-rP1) (MAC25 protein) (PGI2-stimulating factor) (Prostacyclin-stimulating factor) (Tumor-derived adhesion factor) (TAF)	IBP7	Insulin-like growth factor-binding protein 7	0.0308
A0M8Q6	NA	LAC7	Ig lambda-7 chain C region	0.00857
P12277	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	KCRB	Creatine kinase B-type	3.15e-06
Q15063	Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)	POSTN	Periostin	0.00214
P04114	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	APOB	Apolipoprotein B-100	0.0317
Q9Y376	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	CAB39	Calcium-binding protein 39	0.00131
P02771	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	FETA	Alpha-fetoprotein	0.00554
Q76M96	Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes protein 1) (Up-regulated in BRS-3 deficient mouse homolog)	CCD80	Coiled-coil domain-containing protein 80	0.0148
P49257	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)	LMAN1	Protein ERGIC-53	0.00104
P20774	Mimecan (Osteoglycin) (Osteoinductive factor) (OIF)	MIME	Mimecan	0.00917
P09486	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	SPRC	SPARC	0.0089
Q9UHG2	ProSAAS	PCSK1	ProSAAS	0.000832
P10645	Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1 (Vasostatin I); Vasostatin-2 (Vasostatin II); EA-92; ES-43; Pancreastatin; SS-18; WA-8; WE-14; LF-19; Catestatin (SL21); AL-11; GV-19; GR-44; ER-37; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	CMGA	Chromogranin-A	0.00648
O14745	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	NHRF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	0.00394
Q9BRK5	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	CAB45	45 kDa calcium-binding protein	0.00547
Q86X29	Lipolysis-stimulated lipoprotein receptor (Angulin-1)	LSR	Lipolysis-stimulated lipoprotein receptor	0.000945
Q8NBJ4	Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)	GOLM1	Golgi membrane protein 1	0.00284
